descricao_projeto,tipo_projeto,departamento,duracao_meses,orcamento,complexidade,recursos_disponiveis,metodologia,risco,entregas,tamanho_equipe,data_inicio,sucesso
Pesquisa de satisfação do cliente,Pesquisa,Operações,1,888089.79,Alta,1,Waterfall,Baixo,2,7,2022-03-11,0
Integração de sistemas,Software,RH,15,704171.78,Alta,1,Scrum,Médio,5,30,2022-03-23,0
Implementação de CRM,Software,TI,24,314205.69,Média,0,XP,Alto,7,16,2024-08-24,0
Automatização de processos,Marketing,RH,4,474499.19,Baixa,1,Scrum,Alto,5,8,2021-09-06,0
Implementação de CRM,Pesquisa,TI,18,457517.68,Alta,0,Waterfall,Baixo,3,14,2021-06-15,0
Automatização de processos,Pesquisa,Marketing,17,961368.41,Baixa,0,XP,Médio,1,20,2023-09-11,1
Treinamento de equipe,Construção,Financeiro,7,216545.36,Baixa,0,Scrum,Baixo,7,28,2024-09-20,0
Treinamento de equipe,Pesquisa,Operações,10,135097.52,Baixa,1,XP,Baixo,8,6,2023-10-17,0
Construção de dashboard de vendas,Software,TI,1,886587.89,Baixa,1,Scrum,Médio,6,30,2022-06-26,1
Migração de banco de dados,Infraestrutura,Marketing,2,901851.69,Alta,1,Agile,Baixo,7,4,2023-01-29,0
Implementação de CRM,Infraestrutura,Financeiro,22,878152.13,Média,1,XP,Baixo,9,36,2024-02-04,1
Construção de dashboard de vendas,Infraestrutura,Financeiro,32,535428.07,Alta,0,XP,Baixo,2,3,2021-03-22,0
Pesquisa de satisfação do cliente,Infraestrutura,Financeiro,29,676757.21,Baixa,1,XP,Baixo,5,10,2021-05-13,1
Construção de dashboard de vendas,Pesquisa,TI,35,585194.9,Média,1,XP,Baixo,3,38,2023-03-08,1
Desenvolvimento de aplicativo móvel,Pesquisa,Marketing,17,115975.43,Alta,1,Scrum,Alto,2,27,2023-06-19,0
Treinamento de equipe,Construção,RH,12,616043.15,Alta,2,Kanban,Baixo,3,18,2021-05-18,0
Desenvolvimento de aplicativo móvel,Pesquisa,Marketing,24,62933.44,Média,1,Scrum,Médio,4,11,2021-07-03,0
Implementação de CRM,Infraestrutura,Marketing,30,358738.04,Baixa,1,Waterfall,Médio,2,36,2024-11-25,1
Integração de sistemas,Marketing,Marketing,30,935677.95,Média,1,Agile,Médio,2,40,2024-09-15,1
Integração de sistemas,Marketing,TI,20,338843.01,Média,1,Scrum,Médio,8,35,2023-02-24,0
Pesquisa de satisfação do cliente,Software,TI,7,942835.31,Média,2,Scrum,Médio,3,13,2023-09-11,1
Construção de dashboard de vendas,Software,TI,7,287627.26,Média,2,XP,Médio,3,23,2021-03-10,0
Integração de sistemas,Pesquisa,Marketing,30,348834.13,Média,1,Waterfall,Baixo,4,9,2022-06-30,0
Automatização de processos,Marketing,TI,12,646987.12,Média,2,XP,Alto,5,4,2021-02-22,0
Automatização de processos,Infraestrutura,Financeiro,31,773545.62,Média,1,XP,Alto,3,40,2021-07-24,1
Pesquisa de satisfação do cliente,Infraestrutura,TI,18,526318.38,Baixa,1,Kanban,Médio,6,31,2021-05-06,1
Análise de dados financeiros,Infraestrutura,Operações,2,888009.9,Média,0,Agile,Baixo,10,3,2021-02-12,0
Treinamento de equipe,Pesquisa,TI,33,88228.4,Média,1,Kanban,Médio,3,36,2021-04-21,0
Construção de dashboard de vendas,Pesquisa,TI,11,926085.1,Baixa,2,XP,Médio,8,17,2023-01-31,1
Implementação de CRM,Construção,TI,34,236492.41,Média,2,Agile,Médio,4,16,2024-04-21,0
Campanha de marketing digital,Infraestrutura,TI,16,890026.81,Baixa,1,Scrum,Médio,5,39,2023-04-28,1
Campanha de marketing digital,Infraestrutura,Operações,35,430820.02,Média,1,Waterfall,Médio,3,2,2021-04-05,0
Campanha de marketing digital,Pesquisa,RH,33,841119.2,Alta,1,Kanban,Médio,5,5,2024-10-29,0
Integração de sistemas,Pesquisa,TI,21,688082.27,Baixa,2,Waterfall,Baixo,7,33,2023-06-19,1
Análise de dados financeiros,Construção,Financeiro,20,217144.55,Média,1,XP,Médio,3,13,2021-12-26,0
Análise de dados financeiros,Construção,Operações,8,922145.19,Média,1,Agile,Baixo,3,12,2023-06-19,1
Construção de dashboard de vendas,Software,RH,26,283241.52,Baixa,1,Scrum,Médio,1,19,2021-10-08,1
Construção de dashboard de vendas,Marketing,TI,33,281933.11,Alta,2,Agile,Baixo,2,22,2024-05-03,0
Análise de dados financeiros,Infraestrutura,RH,26,823469.95,Média,2,Waterfall,Baixo,4,40,2024-05-03,1
Pesquisa de satisfação do cliente,Infraestrutura,Financeiro,30,150579.59,Alta,0,Waterfall,Baixo,9,8,2022-10-29,0
Construção de dashboard de vendas,Construção,Operações,31,260934.11,Baixa,0,Scrum,Alto,3,4,2021-04-03,0
Pesquisa de satisfação do cliente,Construção,Operações,33,528493.69,Baixa,2,Scrum,Médio,10,7,2022-11-03,1
Desenvolvimento de aplicativo móvel,Software,RH,11,838953.18,Média,2,Agile,Baixo,5,22,2021-03-02,1
Automatização de processos,Marketing,TI,5,190109.78,Média,1,Kanban,Médio,9,18,2022-09-26,0
Treinamento de equipe,Software,Marketing,2,570284.82,Alta,1,Agile,Médio,4,6,2023-12-11,0
Construção de dashboard de vendas,Marketing,Operações,13,725678.56,Baixa,2,Waterfall,Médio,4,4,2024-11-27,1
Análise de dados financeiros,Infraestrutura,Marketing,18,867565.46,Média,2,Agile,Médio,6,12,2023-10-26,1
Automatização de processos,Software,Operações,26,938787.28,Baixa,2,XP,Baixo,7,37,2022-08-27,1
Automatização de processos,Construção,TI,25,795407.92,Alta,1,Agile,Baixo,6,2,2022-11-13,0
Migração de banco de dados,Software,TI,14,670186.98,Média,2,Agile,Baixo,4,3,2022-06-18,0
Análise de dados financeiros,Software,Operações,5,461939.08,Média,0,XP,Médio,7,21,2024-11-29,0
Treinamento de equipe,Infraestrutura,RH,2,156504.65,Baixa,2,Waterfall,Baixo,10,39,2023-04-18,0
Análise de dados financeiros,Construção,TI,4,724250.33,Média,0,Scrum,Médio,3,13,2022-10-07,0
Construção de dashboard de vendas,Construção,TI,12,993100.44,Baixa,1,Agile,Baixo,3,14,2021-08-21,1
Implementação de CRM,Pesquisa,Financeiro,11,749922.56,Baixa,1,Kanban,Baixo,7,30,2022-06-08,1
Desenvolvimento de aplicativo móvel,Pesquisa,TI,4,65875.54,Média,2,Scrum,Alto,6,18,2021-12-12,0
Pesquisa de satisfação do cliente,Pesquisa,Financeiro,9,521446.98,Alta,1,Kanban,Alto,2,13,2023-12-06,0
Implementação de CRM,Infraestrutura,TI,10,633914.3,Alta,0,Agile,Baixo,1,14,2022-06-30,0
Desenvolvimento de aplicativo móvel,Software,TI,27,705190.49,Média,2,Kanban,Alto,6,40,2024-01-07,1
Implementação de CRM,Construção,RH,6,733739.54,Média,1,Scrum,Médio,9,25,2024-01-02,0
Pesquisa de satisfação do cliente,Construção,RH,15,580203.02,Alta,1,Kanban,Médio,3,37,2023-03-05,0
Integração de sistemas,Software,TI,31,262192.32,Média,2,Kanban,Baixo,9,27,2021-09-06,1
Análise de dados financeiros,Construção,Operações,22,945090.63,Média,1,Scrum,Baixo,6,23,2021-02-16,1
Implementação de CRM,Software,Operações,6,711833.14,Alta,2,Scrum,Alto,4,7,2024-02-19,0
Construção de dashboard de vendas,Infraestrutura,TI,33,274998.04,Baixa,1,Scrum,Alto,10,10,2021-08-02,0
Treinamento de equipe,Infraestrutura,Operações,29,356205.74,Baixa,2,Scrum,Médio,10,25,2021-08-27,1
Campanha de marketing digital,Infraestrutura,TI,21,925831.29,Média,2,XP,Alto,10,35,2023-12-16,1
Construção de dashboard de vendas,Software,RH,30,893110.93,Baixa,1,Agile,Médio,2,24,2021-12-16,1
Pesquisa de satisfação do cliente,Software,Marketing,21,434889.12,Média,2,Scrum,Baixo,9,11,2021-04-17,0
Treinamento de equipe,Marketing,Financeiro,36,86391.86,Média,1,Waterfall,Baixo,5,20,2023-04-11,0
Construção de dashboard de vendas,Construção,Operações,22,96072.5,Média,2,Kanban,Baixo,5,10,2021-02-17,0
Automatização de processos,Construção,Operações,20,319722.38,Alta,2,Scrum,Médio,2,21,2021-12-03,0
Análise de dados financeiros,Marketing,RH,22,647666.11,Baixa,1,Scrum,Alto,5,28,2023-11-16,1
Treinamento de equipe,Marketing,Operações,11,604984.9,Média,1,Agile,Médio,6,28,2023-03-15,0
Automatização de processos,Infraestrutura,TI,31,652136.4,Baixa,2,Scrum,Médio,2,27,2024-07-04,1
Construção de dashboard de vendas,Marketing,TI,13,731418.82,Média,0,XP,Médio,1,33,2021-01-08,1
Desenvolvimento de aplicativo móvel,Software,Marketing,18,68080.64,Média,1,Waterfall,Baixo,6,4,2022-09-17,0
Migração de banco de dados,Pesquisa,Marketing,22,149831.32,Média,1,Waterfall,Baixo,9,35,2024-06-30,0
Desenvolvimento de aplicativo móvel,Software,Marketing,17,391509.28,Baixa,0,Scrum,Médio,9,20,2022-12-20,0
Análise de dados financeiros,Marketing,TI,25,197117.0,Média,2,Agile,Médio,9,6,2021-10-30,0
Treinamento de equipe,Construção,Marketing,32,121554.04,Média,1,Scrum,Alto,5,6,2022-10-01,0
Treinamento de equipe,Software,Marketing,15,658916.18,Baixa,1,Kanban,Baixo,10,17,2021-02-25,1
Análise de dados financeiros,Construção,TI,13,824569.65,Média,2,Waterfall,Médio,1,19,2022-12-27,1
Automatização de processos,Software,RH,26,764995.32,Média,1,Kanban,Médio,3,17,2022-06-10,1
Migração de banco de dados,Construção,Operações,11,826187.79,Alta,1,XP,Baixo,8,3,2022-04-19,0
Construção de dashboard de vendas,Software,Financeiro,13,682563.72,Alta,2,Waterfall,Médio,9,34,2021-01-28,0
Pesquisa de satisfação do cliente,Construção,TI,33,748578.06,Média,2,Waterfall,Baixo,4,4,2021-03-19,1
Desenvolvimento de aplicativo móvel,Pesquisa,TI,1,308189.84,Alta,2,XP,Médio,3,23,2024-05-24,0
Desenvolvimento de aplicativo móvel,Infraestrutura,Financeiro,27,993357.63,Média,0,Kanban,Médio,2,18,2024-11-10,1
Campanha de marketing digital,Software,Financeiro,36,224007.37,Alta,0,Scrum,Baixo,5,34,2021-12-31,0
Migração de banco de dados,Pesquisa,Marketing,32,253769.18,Baixa,1,Agile,Alto,2,29,2022-10-28,1
Pesquisa de satisfação do cliente,Infraestrutura,Financeiro,15,324475.74,Média,0,Kanban,Baixo,9,15,2022-06-10,0
Desenvolvimento de aplicativo móvel,Software,Operações,31,976565.81,Média,1,XP,Baixo,10,11,2022-11-30,1
Pesquisa de satisfação do cliente,Pesquisa,Operações,6,988874.16,Média,1,XP,Médio,9,39,2024-08-28,1
Construção de dashboard de vendas,Pesquisa,Operações,25,805149.06,Baixa,1,XP,Alto,3,9,2023-06-02,1
Treinamento de equipe,Pesquisa,Operações,18,647604.72,Média,1,Waterfall,Baixo,4,35,2023-10-28,1
Pesquisa de satisfação do cliente,Marketing,Operações,22,544059.45,Média,1,Scrum,Baixo,9,10,2023-10-24,0
Desenvolvimento de aplicativo móvel,Construção,Marketing,31,972089.8,Baixa,1,Waterfall,Médio,1,40,2023-07-08,1
Automatização de processos,Infraestrutura,TI,36,710841.66,Média,0,Waterfall,Baixo,7,38,2023-01-20,1
Migração de banco de dados,Construção,Financeiro,9,947493.62,Média,1,Waterfall,Baixo,2,29,2021-12-29,1
Análise de dados financeiros,Construção,TI,3,350723.26,Alta,1,XP,Baixo,9,6,2024-07-21,0
Implementação de CRM,Construção,Financeiro,33,367086.05,Média,2,Kanban,Alto,3,19,2023-03-17,1
Integração de sistemas,Pesquisa,Marketing,27,861988.36,Alta,2,Agile,Alto,6,26,2023-01-09,1
Integração de sistemas,Construção,Marketing,1,192362.17,Alta,2,Agile,Baixo,5,9,2023-11-05,0
Implementação de CRM,Marketing,RH,9,948631.47,Média,1,Scrum,Médio,2,13,2024-04-30,1
Pesquisa de satisfação do cliente,Software,RH,5,532100.64,Média,0,Scrum,Baixo,9,26,2022-04-30,0
Migração de banco de dados,Pesquisa,Marketing,15,930093.18,Baixa,0,XP,Médio,3,20,2021-01-28,1
Pesquisa de satisfação do cliente,Infraestrutura,Marketing,9,369953.15,Alta,2,Agile,Baixo,6,2,2022-12-15,0
Análise de dados financeiros,Software,Financeiro,28,730160.96,Baixa,1,Kanban,Baixo,9,4,2023-11-29,1
Migração de banco de dados,Software,Marketing,13,508731.37,Média,1,XP,Médio,8,7,2024-07-20,0
Implementação de CRM,Software,TI,24,645463.45,Média,0,Scrum,Baixo,10,19,2024-06-08,1
Pesquisa de satisfação do cliente,Construção,Financeiro,10,529153.87,Alta,0,XP,Baixo,5,35,2021-03-27,0
Campanha de marketing digital,Construção,Marketing,22,968759.84,Média,2,Scrum,Alto,6,11,2021-05-06,1
Desenvolvimento de aplicativo móvel,Pesquisa,Financeiro,22,707500.13,Alta,1,Agile,Alto,3,19,2023-03-23,0
Automatização de processos,Construção,Financeiro,20,288753.02,Baixa,1,XP,Baixo,5,32,2022-06-21,1
Treinamento de equipe,Construção,Operações,10,914193.08,Baixa,0,Waterfall,Médio,6,14,2021-05-25,1
Automatização de processos,Construção,RH,10,329328.25,Média,1,Scrum,Médio,3,5,2024-05-20,0
Análise de dados financeiros,Pesquisa,Financeiro,26,403024.84,Alta,2,Waterfall,Médio,10,25,2021-01-25,0
Pesquisa de satisfação do cliente,Pesquisa,Financeiro,25,147017.51,Média,1,Scrum,Alto,2,14,2024-11-18,0
Construção de dashboard de vendas,Marketing,Operações,28,904968.19,Alta,2,Waterfall,Médio,10,39,2021-03-08,1
Migração de banco de dados,Marketing,Marketing,13,321806.42,Média,1,Agile,Médio,9,12,2021-08-21,0
Pesquisa de satisfação do cliente,Marketing,Financeiro,15,295971.74,Média,1,Agile,Baixo,7,20,2021-04-19,0
Migração de banco de dados,Marketing,Operações,6,924249.47,Média,2,Kanban,Médio,4,18,2024-03-15,1
Treinamento de equipe,Software,TI,12,815250.52,Média,2,Kanban,Médio,3,1,2021-04-21,1
Campanha de marketing digital,Software,Operações,19,184024.98,Baixa,1,Kanban,Baixo,4,4,2021-08-16,0
Automatização de processos,Marketing,RH,32,780858.28,Alta,0,XP,Baixo,9,12,2021-04-21,0
Desenvolvimento de aplicativo móvel,Marketing,RH,11,917381.44,Alta,1,Scrum,Baixo,9,26,2021-02-03,0
Treinamento de equipe,Infraestrutura,Marketing,33,124585.66,Média,0,XP,Baixo,6,32,2022-09-15,0
Treinamento de equipe,Software,Marketing,2,833954.25,Baixa,0,Kanban,Baixo,9,37,2024-10-24,1
Automatização de processos,Infraestrutura,RH,15,570049.05,Baixa,1,Scrum,Baixo,9,15,2023-01-18,1
Treinamento de equipe,Infraestrutura,RH,36,685737.58,Alta,1,XP,Baixo,6,35,2022-08-18,1
Construção de dashboard de vendas,Construção,Financeiro,5,518211.62,Baixa,2,Agile,Médio,5,26,2022-03-01,1
Construção de dashboard de vendas,Pesquisa,RH,15,712912.93,Alta,0,Scrum,Médio,3,15,2022-09-05,0
Integração de sistemas,Software,Marketing,10,82392.97,Média,2,Kanban,Baixo,1,8,2022-11-23,0
Integração de sistemas,Marketing,RH,17,774571.39,Média,2,Agile,Alto,4,28,2024-07-29,1
Construção de dashboard de vendas,Marketing,Marketing,34,81676.51,Alta,2,Scrum,Médio,1,30,2024-09-05,0
Implementação de CRM,Pesquisa,TI,24,482534.86,Baixa,2,XP,Médio,1,3,2021-11-11,0
Campanha de marketing digital,Software,RH,10,193416.74,Média,2,Kanban,Alto,6,6,2023-05-27,0
Migração de banco de dados,Marketing,Marketing,30,832395.56,Alta,2,XP,Baixo,5,31,2024-11-01,1
Campanha de marketing digital,Marketing,Operações,3,347977.86,Média,1,Agile,Médio,7,26,2024-08-05,0
Análise de dados financeiros,Construção,Financeiro,3,481388.87,Média,1,Agile,Médio,1,8,2022-10-24,0
Treinamento de equipe,Infraestrutura,Marketing,5,457313.2,Média,2,Agile,Baixo,1,39,2021-10-04,1
Desenvolvimento de aplicativo móvel,Marketing,RH,28,783876.87,Baixa,1,Scrum,Baixo,8,29,2022-09-16,1
Treinamento de equipe,Software,RH,14,507087.14,Baixa,0,Kanban,Alto,6,17,2022-05-31,0
Campanha de marketing digital,Pesquisa,TI,11,799510.42,Média,2,Agile,Baixo,8,16,2024-10-05,1
Construção de dashboard de vendas,Construção,Operações,8,119832.86,Média,1,XP,Alto,6,4,2023-04-23,0
Automatização de processos,Software,Marketing,8,232014.27,Média,2,Kanban,Médio,6,10,2021-12-16,0
Análise de dados financeiros,Construção,Operações,12,573957.54,Média,0,XP,Médio,10,16,2023-04-03,0
Construção de dashboard de vendas,Infraestrutura,TI,15,949733.91,Baixa,1,XP,Baixo,7,19,2024-03-06,1
Campanha de marketing digital,Marketing,Financeiro,19,121019.95,Média,1,Agile,Médio,2,39,2023-01-29,0
Automatização de processos,Software,Operações,28,90930.01,Baixa,2,Kanban,Baixo,3,13,2023-06-18,0
Desenvolvimento de aplicativo móvel,Pesquisa,TI,7,198723.14,Baixa,0,Waterfall,Baixo,4,4,2021-08-31,0
Campanha de marketing digital,Infraestrutura,Marketing,7,659095.47,Média,2,Scrum,Alto,1,32,2022-06-27,1
Migração de banco de dados,Infraestrutura,Financeiro,30,429043.27,Alta,0,Waterfall,Baixo,9,18,2023-11-30,0
Pesquisa de satisfação do cliente,Construção,RH,18,834274.76,Baixa,0,Scrum,Médio,9,16,2021-08-17,1
Automatização de processos,Infraestrutura,TI,24,118336.49,Média,1,Kanban,Alto,4,25,2022-07-02,0
Campanha de marketing digital,Software,RH,6,236593.38,Média,1,Agile,Baixo,1,16,2023-07-09,0
Construção de dashboard de vendas,Construção,Financeiro,4,335025.09,Baixa,1,Kanban,Médio,1,22,2024-05-31,0
Migração de banco de dados,Infraestrutura,TI,3,645393.58,Média,0,Waterfall,Médio,6,24,2021-01-06,0
Implementação de CRM,Pesquisa,TI,6,700914.06,Alta,1,XP,Médio,2,28,2024-09-07,0
Automatização de processos,Software,Financeiro,26,167993.13,Média,1,Scrum,Alto,1,23,2022-04-13,0
Migração de banco de dados,Pesquisa,Marketing,11,946614.47,Baixa,2,Scrum,Alto,10,21,2021-03-16,1
Construção de dashboard de vendas,Pesquisa,TI,29,373991.93,Média,0,Waterfall,Médio,2,9,2021-01-04,0
Campanha de marketing digital,Construção,Financeiro,20,727510.32,Média,1,Agile,Médio,7,2,2022-10-08,0
Treinamento de equipe,Marketing,Operações,10,547997.33,Baixa,1,Kanban,Médio,4,38,2021-04-28,1
Desenvolvimento de aplicativo móvel,Construção,RH,26,261620.21,Baixa,2,Waterfall,Médio,7,28,2023-05-31,1
Treinamento de equipe,Software,TI,27,853916.91,Baixa,2,Kanban,Médio,7,26,2022-05-19,1
Pesquisa de satisfação do cliente,Software,Operações,14,827326.13,Baixa,2,Agile,Baixo,4,27,2023-08-05,1
Migração de banco de dados,Construção,TI,36,426268.26,Baixa,0,XP,Baixo,2,25,2022-07-28,1
Pesquisa de satisfação do cliente,Marketing,Marketing,12,609177.21,Média,2,Kanban,Alto,9,21,2021-07-13,1
Desenvolvimento de aplicativo móvel,Construção,Financeiro,23,294934.41,Média,2,Agile,Baixo,10,38,2023-04-27,1
Migração de banco de dados,Software,TI,21,705359.05,Alta,2,Waterfall,Médio,10,25,2022-12-16,1
Integração de sistemas,Marketing,Financeiro,8,343575.47,Média,1,XP,Alto,3,38,2024-11-16,0
Construção de dashboard de vendas,Software,TI,9,851874.8,Alta,2,XP,Baixo,1,11,2023-11-16,0
Migração de banco de dados,Marketing,Marketing,24,256515.85,Média,1,XP,Médio,8,28,2024-12-29,0
Construção de dashboard de vendas,Marketing,Marketing,31,64063.25,Baixa,1,Scrum,Baixo,4,36,2021-06-22,1
Treinamento de equipe,Construção,Operações,25,305082.64,Média,1,Agile,Alto,9,4,2024-08-16,0
Análise de dados financeiros,Construção,Marketing,17,231499.86,Alta,1,Kanban,Baixo,8,19,2021-11-22,0
Automatização de processos,Construção,Financeiro,29,532872.12,Baixa,1,Waterfall,Médio,7,24,2024-12-04,1
Análise de dados financeiros,Marketing,Marketing,3,243518.13,Baixa,1,XP,Médio,9,22,2024-02-16,0
Campanha de marketing digital,Marketing,TI,21,775030.38,Média,2,XP,Médio,2,25,2023-04-16,1
Automatização de processos,Software,Marketing,8,279302.11,Média,1,XP,Baixo,4,8,2022-12-25,0
Automatização de processos,Pesquisa,Financeiro,14,721619.77,Média,1,Agile,Médio,5,20,2021-08-13,0
Implementação de CRM,Construção,TI,16,599547.38,Baixa,1,Waterfall,Baixo,5,1,2022-06-16,0
Automatização de processos,Software,Operações,18,986937.36,Baixa,2,Agile,Baixo,1,4,2021-04-23,1
Desenvolvimento de aplicativo móvel,Software,Operações,31,999905.93,Média,1,Waterfall,Médio,9,12,2021-05-20,1
Análise de dados financeiros,Infraestrutura,Operações,11,876049.78,Média,0,Kanban,Baixo,9,25,2022-07-13,1
Treinamento de equipe,Construção,TI,20,771984.2,Média,2,Scrum,Médio,5,21,2021-01-01,1
Construção de dashboard de vendas,Software,Operações,4,417133.59,Média,0,Waterfall,Alto,10,19,2021-03-31,0
Campanha de marketing digital,Infraestrutura,Marketing,20,765612.89,Média,0,Agile,Alto,3,34,2022-10-16,1
Automatização de processos,Construção,TI,31,958841.76,Baixa,1,Agile,Médio,8,6,2021-11-16,1
Campanha de marketing digital,Marketing,TI,20,72208.7,Média,1,Agile,Baixo,7,35,2021-05-19,0
Treinamento de equipe,Infraestrutura,TI,11,561018.97,Baixa,0,Scrum,Médio,5,3,2023-04-25,0
Campanha de marketing digital,Marketing,RH,1,257098.39,Média,1,Waterfall,Alto,1,33,2021-09-16,0
Treinamento de equipe,Pesquisa,Financeiro,18,579982.5,Média,2,Waterfall,Alto,7,9,2023-06-21,0
Automatização de processos,Pesquisa,RH,33,493124.74,Baixa,1,Waterfall,Médio,1,7,2022-11-21,1
Treinamento de equipe,Pesquisa,RH,36,596980.15,Baixa,0,Waterfall,Alto,1,27,2021-01-10,1
Automatização de processos,Pesquisa,RH,18,573414.11,Baixa,2,XP,Alto,9,1,2021-09-18,1
Implementação de CRM,Software,Financeiro,31,962101.69,Baixa,1,XP,Alto,6,40,2021-06-21,1
Implementação de CRM,Pesquisa,RH,35,574576.8,Média,1,Agile,Médio,7,18,2023-06-17,1
Treinamento de equipe,Software,Operações,15,853920.48,Alta,1,XP,Alto,2,35,2021-01-13,1
Implementação de CRM,Software,TI,6,353829.27,Média,1,Waterfall,Alto,8,17,2024-04-06,0
Construção de dashboard de vendas,Construção,TI,8,466195.65,Média,1,Waterfall,Baixo,7,39,2021-11-17,0
Construção de dashboard de vendas,Software,Marketing,22,496892.8,Média,2,XP,Alto,5,11,2024-09-04,0
Implementação de CRM,Software,Operações,1,314791.64,Média,1,Kanban,Baixo,8,37,2021-11-25,0
Implementação de CRM,Pesquisa,Financeiro,13,410800.75,Alta,1,Agile,Médio,2,11,2023-02-24,0
Integração de sistemas,Software,TI,24,618587.43,Alta,2,Scrum,Médio,6,3,2023-02-16,0
Integração de sistemas,Marketing,RH,21,601178.38,Média,2,Agile,Médio,4,13,2023-06-30,1
Automatização de processos,Pesquisa,Marketing,4,654613.58,Alta,0,Agile,Alto,7,28,2024-12-13,0
Treinamento de equipe,Infraestrutura,Marketing,7,384227.02,Baixa,2,Agile,Médio,6,38,2024-01-24,1
Pesquisa de satisfação do cliente,Pesquisa,TI,12,350039.92,Média,1,XP,Baixo,6,34,2021-11-14,0
Pesquisa de satisfação do cliente,Software,Operações,13,631036.99,Alta,1,Agile,Baixo,5,28,2021-08-24,0
Implementação de CRM,Marketing,Marketing,16,176218.66,Média,1,Waterfall,Médio,5,2,2021-11-30,0
Campanha de marketing digital,Pesquisa,TI,6,290379.97,Alta,1,Agile,Médio,2,2,2022-01-11,0
Implementação de CRM,Marketing,Operações,14,90021.35,Baixa,0,Waterfall,Baixo,7,37,2024-03-06,0
Integração de sistemas,Infraestrutura,TI,31,118980.31,Média,1,XP,Médio,7,16,2022-08-11,0
Automatização de processos,Infraestrutura,TI,36,281214.12,Alta,1,XP,Baixo,8,8,2022-05-28,0
Implementação de CRM,Construção,Operações,35,68552.82,Média,0,Agile,Médio,4,40,2024-08-12,0
Análise de dados financeiros,Construção,Operações,10,283140.06,Média,1,Waterfall,Baixo,9,11,2024-09-05,0
Campanha de marketing digital,Pesquisa,Operações,17,672227.51,Baixa,2,Waterfall,Médio,10,15,2023-07-07,1
Análise de dados financeiros,Construção,TI,30,108051.72,Média,2,Waterfall,Baixo,3,4,2024-10-04,0
Automatização de processos,Marketing,Marketing,7,464899.84,Alta,1,Waterfall,Baixo,3,23,2023-05-23,0
Automatização de processos,Construção,Financeiro,18,917453.35,Média,2,Scrum,Alto,2,8,2024-06-06,1
Construção de dashboard de vendas,Marketing,Financeiro,19,801720.59,Baixa,1,XP,Médio,10,16,2021-09-27,1
Migração de banco de dados,Construção,TI,15,340165.63,Baixa,0,Waterfall,Médio,7,16,2023-03-09,0
Análise de dados financeiros,Construção,TI,22,928565.21,Alta,1,Scrum,Médio,10,24,2024-08-07,1
Construção de dashboard de vendas,Construção,Marketing,30,363164.17,Média,0,Scrum,Médio,2,10,2022-12-26,0
Integração de sistemas,Software,Operações,20,118889.72,Baixa,2,XP,Médio,7,34,2024-04-03,1
Desenvolvimento de aplicativo móvel,Software,TI,32,994353.16,Baixa,2,Kanban,Médio,3,18,2021-01-05,1
Campanha de marketing digital,Construção,RH,25,876521.4,Alta,1,Agile,Médio,1,16,2023-05-01,1
Desenvolvimento de aplicativo móvel,Marketing,Operações,23,492636.14,Alta,1,XP,Baixo,8,36,2024-11-03,0
Treinamento de equipe,Pesquisa,TI,5,683057.7,Baixa,1,Kanban,Baixo,8,8,2021-03-19,0
Integração de sistemas,Infraestrutura,RH,30,687666.67,Média,1,Agile,Alto,10,20,2024-12-04,1
Integração de sistemas,Software,Marketing,27,234758.12,Média,2,Agile,Alto,1,23,2022-07-28,0
Desenvolvimento de aplicativo móvel,Construção,RH,7,240046.2,Média,1,Agile,Baixo,6,40,2021-05-12,0
Análise de dados financeiros,Infraestrutura,TI,5,496101.67,Alta,0,Scrum,Baixo,4,14,2022-08-24,0
Migração de banco de dados,Software,Financeiro,15,915994.48,Média,2,Waterfall,Baixo,5,16,2023-12-02,1
Análise de dados financeiros,Pesquisa,TI,8,59494.09,Média,0,Agile,Médio,8,38,2021-03-30,0
Desenvolvimento de aplicativo móvel,Marketing,Financeiro,9,793380.35,Média,2,Waterfall,Baixo,8,18,2022-02-06,1
Treinamento de equipe,Construção,Marketing,11,104650.44,Alta,1,Agile,Médio,7,40,2021-10-23,0
Análise de dados financeiros,Pesquisa,Marketing,22,504311.01,Média,1,Scrum,Alto,5,30,2024-08-11,1
Pesquisa de satisfação do cliente,Software,Operações,34,655979.19,Baixa,0,Agile,Alto,6,36,2022-09-08,1
Análise de dados financeiros,Construção,Operações,35,702421.3,Média,1,XP,Baixo,8,36,2023-03-11,1
Automatização de processos,Infraestrutura,Financeiro,13,105555.3,Alta,2,Kanban,Alto,5,39,2022-02-26,0
Construção de dashboard de vendas,Marketing,Financeiro,11,447673.44,Média,1,Agile,Médio,3,40,2023-11-13,0
Campanha de marketing digital,Software,Marketing,32,604645.4,Média,2,Kanban,Baixo,9,1,2022-07-29,1
Análise de dados financeiros,Marketing,RH,15,112743.26,Média,1,Kanban,Médio,9,17,2021-05-23,0
Migração de banco de dados,Construção,Financeiro,1,178339.83,Baixa,2,Scrum,Médio,10,28,2023-09-20,0
Migração de banco de dados,Pesquisa,Financeiro,24,680466.54,Baixa,2,Kanban,Alto,1,7,2022-10-27,1
Análise de dados financeiros,Marketing,RH,22,545556.29,Baixa,1,Scrum,Baixo,7,20,2021-05-25,1
